,Id,User,Tweet,class_label
0,389548615,Nili Majumder,"🚨 LATEST : Today, we made another significant step towards #VaccinEquity!

504,000 doses of #COVID19 vaccine just arrived in Abidjan. Côte d’Ivoire🇨🇮 has become the second country in Africa 🌍 to receive the vaccines from the COVAX Facility. https://t.co/HzarjEAzNz",POSITIVE
1,9.43E+17,Karan R Verma,"The #UddhavThackeray government is contemplating imposing a night #curfew to curb the #coronavirus , said state Relief and Rehabilitation Minister @VijayWadettiwar  
#COVID19 #Maharashtra #MaharashtraGovernment #maharashtralockdown 
https://t.co/VqGV5LW6zh",NEGATIVE
2,3233580458,नानू जयसिंगपुरिया,Thanks 🇮🇳 &amp; Prime Minister @narendramodi for supporting #VaccinEquity. Your commitment to #COVAX and sharing #COVID19 vaccine doses is helping 60+ countries start vaccinating their #healthworkers and other priority groups. I hope other countries will follow your example.,POSITIVE
3,119502308,Maricopa County,"Today, 1,595 #COVID19 cases and 119 deaths are being added to the Maricopa County COVID-19 dashboard.  For more data, including case count and hospitalization epi curves, see the dashboard https://t.co/4YlFYpiC3p. https://t.co/RazLws9Bub",POSITIVE
4,23539099,"Andy Riga, Montreal","Quebec reports 815 COVID-19 cases, 11 deaths; hospitalizations lowest in three months

Province has  administered more than 400,000 vaccine doses

https://t.co/97Cw1Dek2f #COVID19 #vaccination https://t.co/XVQm44QpXG",POSITIVE
5,14655440,John Kay,The only person who has made more wrong statements about #COVID19 than Governor Cuomo is Dr. Fauci.,NEGATIVE
6,1.25E+18,GTV醒獅走肉3和1 CCP=Satan CCP≠China≠Chinese,"I've published over 300+ papers but I have never have had 100,000 views of my work before.

The world is NOT satisfied with the #WHO investigation and wants the truth. 

I will debate ANYONE ANYWHERE! Name the time &amp; place!

#COVID19 @WHO 

https://t.co/Ys0z2ZNrFB https://t.co/MX7oerl4dO",POSITIVE
7,1.35E+18,Ubermandem,Uber eats uk promo code Uber eats uk promo code eats-edf9tr #Birmingham #westmidlands #london #Ireland  #coronavirus #covid19 #2ndlockdown #freefood #ubereats #uberaeatscodeuk #nhs  #ubereatspromouk   #UberEatsUK #deliveroo 🌚🍔🌚,NEGATIVE
8,1.33E+18,bonheur,"El Salvador is officially malaria-free! 
🇸🇻's remarkable commitment to achieve and maintain #ZeroMalaria - even against the backdrop of the #COVID19 pandemic - can serve as an inspiration to other countries on their journey to elimination.
https://t.co/Uz17jZYoDC @telglobalhealth",NEGATIVE
9,64410420,Stacy Brown Media,Hot off the press! #BeInformed and get this week’s issue of the @WashInformer covering the latest news impacting our local and global community. Now available on newsstands and online at https://t.co/32pZNCH15X!📰📰📰 #BlackPress #BHM365 #BlackHistoryMonth  #COVID19 #Vaccine https://t.co/Db4cV30brM,NEGATIVE
10,1.22E+18,AutumnPhoenix 💛🍁🎬🇪🇺 #FBPE #FBCoalition2024,Disappointed the Times isn’t pushing Sunak to withdraw non-dom tax status from billionaire octogenarian media tycoons who come over here to demand to be first in the queue for the #COVID19 vaccine. https://t.co/O5h1OOeI7Q,NEGATIVE
11,9.19E+17,Therapy Changes,How COVID-19 Changed the Way We Grieve https://t.co/SIHImbzZMA #Mentalhealth #COVID19 #SanDiego,POSITIVE
12,36039035,Roy Hanssen #WearAMask #ListenToScience,"Governments of wealthy countries doing what they always do, fucking over the poorer countries even when we know it’s against our own interests. #COVID19 #COVID19Vaccine https://t.co/INyOJunfNJ",NEGATIVE
13,124624725,M. Sten D. Hübinette,I am learning all about where #COVID19 relief is going with the #COVIDMoneyTracker tool from @BudgetHawks. Check it out: https://t.co/Wsx6rCcLBH,NEGATIVE
14,525857359,Geoffrey P. Johnston😎🇨🇦,"How do we ensure everyone, everywhere is safe from #COVID19? By working together toward #VaccinEquity.

@WHO's Dr. Katherine O'Brien explains: https://t.co/1Gh2VtZcRb. https://t.co/62XiQpLKzf",POSITIVE
15,167987196,Tyler Cooper,"Opened in 1790. No other interim disaster could close it down until now. What tragedies - human, cultural, financial and otherwise - are we yet to experience, due to #COVID19. 😢 https://t.co/zCyb525rg4",POSITIVE
